ibm_16_0910_out.arenas-jazz_seed_1070_method_qaoa_iter_size_16_backend_IBMQX,1070,3256.9270605397924,14,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_1266_method_qaoa_iter_size_16_backend_IBMQX,1266,3516.4434719182645,15,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_1314_method_qaoa_iter_size_16_backend_IBMQX,1314,3348.1130561633745,17,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_1331_method_qaoa_iter_size_16_backend_IBMQX,1331,3347.097738876727,15,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_2928_method_qaoa_iter_size_16_backend_IBMQX,2928,3338.456601021128,12,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_3509_method_qaoa_iter_size_16_backend_IBMQX,3509,3513.9073668854458,21,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_3734_method_qaoa_iter_size_16_backend_IBMQX,3734,3435.0277169948404,18,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_3765_method_qaoa_iter_size_16_backend_IBMQX,3765,3514.220277169907,13,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_3874_method_qaoa_iter_size_16_backend_IBMQX,3874,3502.8242159007605,12,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_400_method_qaoa_iter_size_16_backend_IBMQX,400,3509.4062727935675,15,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_4506_method_qaoa_iter_size_16_backend_IBMQX,4506,3338.5207877461407,15,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_4622_method_qaoa_iter_size_16_backend_IBMQX,4622,3431.7695113055647,13,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_5063_method_qaoa_iter_size_16_backend_IBMQX,5063,3350.248723559417,17,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_5219_method_qaoa_iter_size_16_backend_IBMQX,5219,3516.4434719182645,14,out.arenas-jazz
ibm_16_0910_out.arenas-jazz_seed_6052_method_qaoa_iter_size_16_backend_IBMQX,6052,3350.3887673231097,23,out.arenas-jazz
